actor_id,actor_name,movie_title
1,Rebecca Hall,Godzilla x Kong: The New Empire
2,Brian Tyree Henry,Godzilla x Kong: The New Empire
3,Dan Stevens,Godzilla x Kong: The New Empire
4,Kaylee Hottle,Godzilla x Kong: The New Empire
5,Alex Ferns,Godzilla x Kong: The New Empire
6,Fala Chen,Godzilla x Kong: The New Empire
7,Rachel House,Godzilla x Kong: The New Empire
8,Ron Smyck,Godzilla x Kong: The New Empire
9,Chantelle Jamieson,Godzilla x Kong: The New Empire
10,Greg Hatton,Godzilla x Kong: The New Empire
11,Timothée Chalamet,Dune: Part Two
12,Zendaya,Dune: Part Two
13,Rebecca Ferguson,Dune: Part Two
14,Javier Bardem,Dune: Part Two
15,Josh Brolin,Dune: Part Two
16,Austin Butler,Dune: Part Two
17,Florence Pugh,Dune: Part Two
18,Dave Bautista,Dune: Part Two
19,Christopher Walken,Dune: Part Two
20,Léa Seydoux,Dune: Part Two
21,Alexander Skarsgård,Godzilla vs. Kong
22,Rebecca Hall,Godzilla vs. Kong
23,Kaylee Hottle,Godzilla vs. Kong
24,Brian Tyree Henry,Godzilla vs. Kong
25,Millie Bobby Brown,Godzilla vs. Kong
26,Julian Dennison,Godzilla vs. Kong
27,Demián Bichir,Godzilla vs. Kong
28,Eiza González,Godzilla vs. Kong
29,Shun Oguri,Godzilla vs. Kong
30,Kyle Chandler,Godzilla vs. Kong
